Condition,RedToyReward,YellowToyReward,LearnC,LearnR,TeachC,TeachR,DiscoverC,DiscoverR,ExploreProb,TeacherReward,Decision
Unequal_Costs,11,3,1,1,0,1,1,1,1,Variable,YellowToy
Equal_Costs,11,3,0,0,0,1,1,1,1,Variable,Either
Equal_Costs,11,3,1,1,0,1,0,0,1,Variable,RedToy
Equal_Costs,11,3,1,1,0,1,1,1,1,Variable,RedToy
Matched_Rewards,3,3,0,0,0,1,1,1,1,Variable,YellowToy
Matched_Rewards,3,3,1,1,0,1,0,0,1,Variable,RedToy
Matched_Rewards,3,3,1,1,0,1,1,1,1,Variable,YellowToy
Inverted_Rewards,3,11,0,0,0,1,1,1,1,Variable,YellowToy
Inverted_Rewards,3,11,1,1,0,1,0,0,1,Variable,YellowToy
Inverted_Rewards,3,11,1,1,0,1,1,1,1,Variable,YellowToy
Unequal_Costs,1,3,1,0,0,1,1,0,1,Variable,YellowToy
Unequal_Costs,1,3,0,1,0,1,0,1,1,Variable,YellowToy
Equal_Costs,1,3,1,0,0,1,1,0,1,Variable,YellowToy
